storenum	studentid	year	month	day	hour	minute	money
12		2015010181	2015	2	19	15	48	-8.69
3		2012010495	2015	3	28	6	48	-10.12
11		2015010520	2015	1	9	2	17	-10.78
3		2014010442	2015	7	5	12	46	-8.54
7		2014013659	2015	12	11	16	29	-3.40
13		2013010887	2015	11	25	2	39	-8.58
7		2015011389	2016	11	20	18	50	-5.23
14		2013012258	2015	2	19	19	30	-9.68
13		2013013575	2016	12	29	0	5	-5.43
9		2013011079	2015	1	12	15	25	-5.05
12		2014010741	2016	1	27	6	46	-20.89
2		2013011719	2015	5	25	7	29	-22.67
6		2012011156	2016	8	26	13	16	-8.81
1		2014010858	2015	6	17	16	46	-4.50
9		2015013601	2016	4	11	6	31	-21.34
10		2015011816	2015	11	24	16	46	-3.81
4		2014011048	2015	4	25	2	0	257.42
9		2012011963	2015	1	12	17	46	-6.84
1		2013013566	2015	9	25	16	47	-11.43
1		2014012967	2016	11	24	14	45	-13.17
13		2015010510	2015	10	25	13	30	-11.70
2		2012013742	2016	4	10	15	25	-18.29
8		2013012449	2015	7	17	9	59	-20.76
7		2015013328	2015	9	17	0	13	-18.91
7		2012012846	2016	10	14	19	30	-3.05
5		2013011993	2015	10	23	23	41	-4.58
4		2014012819	2016	4	15	19	52	-8.66
10		2014011650	2016	2	3	21	59	-21.20
10		2012013333	2016	5	31	18	8	134.22
7		2015010117	2015	10	17	17	35	-19.54
6		2015011653	2016	9	10	16	1	360.89
7		2012011950	2016	8	11	16	27	-7.29
12		2014011209	2016	7	16	14	38	-17.83
5		2013012437	2016	11	15	6	11	-9.43
2		2014013285	2015	5	7	15	33	366.08
1		2014010410	2016	3	14	18	57	212.31
6		2015011630	2015	9	4	7	28	-14.76
10		2014011665	2016	10	24	9	12	-12.24
8		2012012468	2016	3	21	14	50	-8.74
13		2013012802	2015	6	25	3	35	-20.26
12		2014011098	2016	3	1	10	20	-16.54
5		2014010747	2016	7	24	10	24	-3.63
1		2012012702	2015	11	25	9	34	-18.86
9		2014012240	2016	5	22	1	22	-9.29
14		2013011274	2016	5	12	14	26	-4.51
14		2013012273	2015	8	14	1	58	-13.53
6		2014011815	2016	7	8	1	45	-16.33
3		2012011394	2015	5	21	12	30	-9.78
7		2014011218	2015	5	10	1	55	-15.30
4		2013013232	2015	11	12	17	16	-18.55
4		2014012891	2016	9	2	23	4	-11.35
9		2015011939	2016	12	11	9	7	-10.03
13		2014013438	2015	10	4	19	0	-17.32
11		2013012511	2016	6	14	18	52	-11.80
5		2014013829	2015	11	8	10	1	-13.87
5		2012010942	2015	8	28	6	44	-15.93
6		2013010166	2015	4	14	11	41	-19.29
13		2014012000	2016	8	16	12	54	-19.58
1		2013010703	2016	2	14	23	56	-18.40
10		2015012742	2016	11	21	22	5	-5.58
13		2014010359	2016	3	30	1	39	-15.01
2		2013011522	2016	6	28	9	37	-8.02
1		2015011253	2016	3	3	8	48	-7.08
2		2013011789	2016	4	25	6	52	-18.52
6		2013013578	2015	6	19	11	4	-4.76
5		2012012898	2016	4	15	19	58	-13.18
7		2012011872	2016	7	20	7	4	-18.46
3		2014010372	2015	3	3	15	43	318.68
3		2015010905	2016	5	27	2	17	-18.38
3		2012010020	2016	1	29	6	52	-13.10
8		2014013749	2015	5	17	4	4	-4.52
7		2012011903	2016	5	28	13	38	398.81
3		2013011804	2015	9	15	7	1	-15.94
5		2012013617	2015	4	29	8	5	-12.59
7		2014010691	2016	6	21	20	19	-8.25
3		2013010022	2015	11	8	16	47	-8.66
1		2015012490	2015	7	12	1	35	-15.07
11		2013011215	2015	12	22	14	4	-21.11
1		2015010900	2015	5	4	20	55	-18.98
4		2014012331	2015	9	9	1	50	-18.69
14		2014010844	2015	6	1	2	1	-4.69
10		2013010143	2016	9	5	16	11	-4.17
7		2015012786	2016	3	18	6	8	-7.98
12		2013013165	2015	3	4	23	58	-19.53
13		2012010665	2015	1	19	10	7	-13.28
2		2015010898	2016	1	2	16	43	-17.27
6		2013011125	2015	9	24	10	45	-22.98
9		2012013384	2016	6	27	3	48	-17.69
9		2012010416	2015	5	1	11	50	-19.35
13		2015012730	2015	6	6	7	34	-16.09
8		2014012891	2016	4	18	0	24	-14.95
8		2015010006	2016	2	4	9	7	-14.55
8		2014011998	2016	7	12	22	42	-5.74
10		2015013551	2015	9	6	18	33	-7.35
14		2014012841	2016	8	21	12	15	-9.40
14		2015013450	2015	2	10	0	44	-16.37
11		2012012687	2015	5	22	13	4	226.55
3		2015011414	2016	10	10	11	23	-10.79
8		2014011740	2016	4	13	2	7	198.09
4		2015013404	2016	1	23	4	27	-10.21
3		2013011283	2016	10	10	2	25	-19.09
12		2013011205	2015	9	25	19	8	-6.64
7		2012010231	2015	1	1	20	3	-12.61
6		2015010313	2015	9	30	2	21	-15.54
12		2013011632	2015	3	24	7	59	-22.02
11		2015012595	2015	9	7	7	45	-16.67
1		2015012931	2016	9	12	17	37	-14.15
4		2015013515	2016	9	9	20	40	-16.65
7		2014012615	2016	7	10	15	1	-16.44
9		2012011561	2016	3	1	8	35	-22.26
6		2015010032	2015	11	21	7	5	211.59
13		2014010407	2016	11	15	6	44	-7.33
9		2014012247	2016	9	6	4	14	-18.07
5		2012011222	2016	5	4	8	27	-10.85
7		2015013754	2015	12	21	3	3	-5.42
5		2015013717	2016	6	19	16	8	-22.32
7		2013013225	2015	1	22	1	53	-5.61
9		2012010247	2015	4	11	9	37	-3.65
8		2014011158	2015	4	27	8	6	192.79
8		2012012640	2016	8	29	21	9	274.30
14		2012011008	2015	1	26	10	12	-15.48
13		2014010634	2015	3	15	16	53	-5.67
11		2012012539	2016	10	4	14	1	-22.16
4		2013013671	2015	12	26	20	37	-11.58
4		2014013243	2015	2	12	2	45	-13.36
12		2013010764	2016	1	23	3	10	-9.55
10		2014013359	2016	4	10	13	10	-5.05
12		2014011003	2015	10	5	6	23	-10.98
7		2014012349	2016	2	14	5	4	-11.04
4		2012012229	2015	2	22	8	19	-8.40
2		2015012339	2015	3	24	8	7	-8.99
14		2013012103	2016	11	11	0	45	-13.95
14		2014011629	2016	10	15	15	7	-21.10
11		2012011128	2016	1	12	22	15	-22.33
3		2015012754	2016	6	22	14	17	-13.73
2		2014013885	2016	8	8	1	30	-18.43
3		2015011035	2016	3	19	3	23	-21.31
1		2015010002	2015	5	12	0	32	-19.69
14		2012013112	2015	9	2	6	3	-15.86
2		2012012893	2016	5	17	5	9	-13.02
12		2014010094	2015	5	21	7	40	-5.16
12		2015013351	2015	12	3	23	28	-6.63
1		2012012487	2016	8	27	11	7	-4.25
11		2015010443	2016	3	25	19	30	-8.87
1		2013012930	2016	6	1	15	19	-15.35
9		2014011003	2016	11	30	7	51	-6.14
1		2015011093	2015	4	30	0	12	-9.65
8		2014013416	2015	5	30	13	52	-8.22
12		2012010947	2015	1	24	9	21	107.00
2		2015012770	2015	7	27	13	3	-8.23
3		2014010857	2015	1	18	12	58	314.76
2		2012012065	2016	6	23	15	47	-14.17
13		2014010771	2015	12	7	9	55	-19.83
1		2013012335	2015	4	24	15	46	394.07
5		2015011627	2015	9	10	9	59	-18.47
14		2014013352	2015	12	4	2	3	-5.00
6		2015010521	2015	10	16	21	45	-12.04
13		2015011013	2016	12	22	6	24	-8.56
5		2014010757	2015	9	19	9	28	-15.31
2		2015011416	2016	8	23	8	53	-12.21
5		2013013892	2016	7	16	2	44	-12.28
11		2013010303	2016	11	30	0	21	-15.34
6		2015013376	2015	1	12	2	35	-13.78
9		2015011220	2016	6	23	3	9	-3.85
3		2014012243	2015	7	17	8	39	-19.93
3		2013010464	2016	9	5	9	30	-11.90
14		2013012134	2015	9	23	10	0	-18.40
8		2012010209	2016	3	30	10	11	-7.75
10		2015011116	2015	7	28	10	36	-16.17
2		2012013670	2015	4	1	18	1	-5.57
11		2015011373	2015	6	13	5	34	-15.27
12		2015010483	2016	12	4	20	26	-22.38
1		2014013370	2016	10	25	18	3	-8.12
9		2014013553	2016	7	7	11	18	44.82
11		2013011689	2015	1	21	22	24	-17.09
4		2014011422	2015	1	22	9	6	-20.81
10		2012011814	2016	11	9	12	59	122.65
7		2015013435	2016	5	1	14	48	-7.71
13		2014010450	2016	10	6	12	0	-5.61
11		2014011773	2015	10	11	5	58	-8.29
14		2015013798	2015	4	6	17	20	-3.44
3		2012011334	2015	11	2	4	45	-22.53
14		2012011288	2016	4	2	14	43	-11.75
9		2015013120	2016	12	13	14	34	-21.84
8		2014013849	2015	2	10	15	40	-22.97
4		2014013604	2016	3	4	12	29	-16.78
5		2015013159	2016	1	24	9	29	-16.57
7		2013010018	2015	12	24	8	13	197.72
4		2013010261	2015	12	28	14	40	-5.05
6		2014010514	2016	2	24	17	17	-18.62
6		2014011825	2015	12	17	1	19	-12.50
10		2014010391	2015	8	16	7	26	-5.58
14		2015010691	2016	6	16	13	6	-18.11
6		2012010771	2016	9	7	12	35	-8.64
3		2015010115	2015	6	28	6	58	-20.33
7		2014010455	2016	10	5	13	22	-4.03
4		2013010920	2015	4	18	13	14	-10.73
3		2012013815	2016	10	23	10	20	-8.71
3		2013011127	2016	5	13	0	1	-7.18
11		2014010716	2015	6	14	14	18	-14.18
9		2013012828	2015	10	24	22	50	-6.43
3		2014013543	2016	2	22	15	33	-7.41
1		2015010447	2015	11	25	13	14	-18.51
11		2012011362	2016	6	16	8	23	-8.52
14		2015010451	2015	8	29	16	2	-14.51
3		2013012295	2016	12	5	3	6	240.03
3		2015012198	2016	1	6	1	42	-4.98
2		2014011236	2016	8	31	23	58	-20.05
14		2015013134	2016	5	2	3	30	-13.90
9		2015011574	2015	1	9	4	53	266.05
6		2012012305	2015	3	31	15	51	-19.76
9		2014012616	2015	7	16	16	58	-6.41
6		2012010539	2015	12	9	10	33	-14.62
1		2015012141	2015	6	30	5	22	-12.71
14		2012012997	2016	12	5	7	58	-5.70
1		2013010664	2016	2	10	20	38	-18.46
11		2012010201	2016	8	19	13	37	-18.01
8		2012010259	2015	2	3	22	3	-21.77
6		2013010227	2015	5	4	23	21	-22.36
8		2015013655	2015	10	15	8	35	-3.78
13		2012012487	2016	5	4	6	9	-6.21
9		2012010974	2016	9	2	13	19	-21.91
9		2015013465	2016	3	8	14	37	-11.38
7		2014012674	2015	9	17	18	14	-13.31
6		2013010042	2015	6	23	6	32	-18.20
8		2015011014	2016	5	26	3	37	-9.20
12		2013011307	2016	5	8	5	19	384.07
2		2013013100	2015	7	6	7	58	-15.17
10		2015011556	2015	5	26	15	7	-14.34
13		2013011007	2015	11	29	1	30	-21.36
6		2012011161	2015	7	31	16	12	-12.71
8		2015010863	2016	12	3	4	50	-18.77
4		2013010739	2015	11	8	12	53	-16.78
5		2014011309	2016	12	1	21	47	-3.36
5		2012011756	2015	8	6	6	7	-17.28
2		2013013261	2015	3	5	2	37	-19.12
1		2013012615	2016	9	20	0	41	-15.89
9		2013012100	2015	12	7	0	32	-16.41
9		2013010250	2015	9	19	5	59	-13.19
10		2012012114	2015	1	26	5	13	89.51
3		2014011607	2015	8	19	20	24	-7.86
2		2015010259	2016	7	22	11	43	-7.04
13		2014010322	2015	3	30	17	37	-6.48
13		2015010862	2015	1	19	22	48	-8.68
4		2012012401	2016	12	28	4	28	-13.17
1		2012012849	2016	11	11	17	51	263.21
4		2015013631	2016	10	1	21	51	-15.63
5		2015010165	2016	3	15	8	51	-16.91
5		2015012272	2015	4	4	2	53	-21.85
3		2015013758	2015	9	9	15	12	-18.73
9		2012011019	2016	6	24	1	29	-4.34
9		2012011309	2016	3	18	1	6	-19.47
9		2015011622	2016	12	27	4	49	362.08
8		2014011835	2016	3	29	17	2	-7.89
13		2012013579	2015	6	6	6	59	-17.43
3		2012012509	2016	8	26	10	37	-10.02
13		2014011251	2016	11	28	4	45	-4.72
2		2013011592	2016	6	2	23	32	312.96
2		2012013502	2015	11	12	16	43	-16.34
8		2013011928	2015	9	17	16	49	-20.80
1		2015010880	2015	5	5	14	34	-7.89
4		2012011433	2016	8	16	8	24	-18.77
5		2012011572	2015	3	24	3	5	-14.03
6		2012012056	2015	2	18	12	54	-20.23
10		2014010964	2015	12	21	22	30	-19.69
6		2014011031	2016	1	27	5	16	-6.05
1		2015012281	2015	10	7	16	37	-15.20
1		2015011232	2015	2	10	0	58	-22.07
4		2012010700	2015	8	26	2	41	-19.44
13		2012012421	2015	2	20	18	47	-12.42
3		2015010121	2015	9	1	16	36	-17.78
1		2012013582	2015	8	18	12	23	-19.45
9		2013012732	2016	8	27	5	22	-7.08
5		2013012004	2016	9	28	17	5	-3.40
1		2014011693	2016	5	7	2	18	-3.76
10		2012010446	2015	12	17	0	0	-19.40
14		2015013310	2015	8	22	6	13	3.42
5		2012010379	2016	11	15	8	47	-8.07
7		2012010313	2016	5	15	1	26	-18.60
12		2013011255	2016	5	31	10	22	-15.80
12		2013012049	2016	11	20	7	17	-12.89
3		2015012205	2015	3	19	21	59	-22.89
9		2013012244	2015	3	24	1	10	-16.89
10		2015012272	2015	7	11	19	28	-7.57
14		2015010523	2016	12	19	1	58	300.83
1		2013010227	2015	12	10	15	19	-11.34
10		2013013449	2016	9	10	19	49	-4.22
6		2015010042	2015	5	4	13	4	-5.35
12		2012012743	2015	12	6	23	30	-8.31
12		2014013109	2015	12	15	14	16	-19.01
14		2013013467	2015	7	20	13	42	-22.05
9		2013012670	2016	7	15	9	49	-4.63
9		2014010152	2016	6	17	17	24	-12.22
5		2014012045	2016	2	3	6	41	92.81
14		2012011172	2016	4	15	23	16	-4.26
12		2013012194	2015	1	29	14	32	-8.33
13		2013013236	2016	8	31	20	16	-8.49
14		2015013723	2016	5	20	7	36	-5.21
14		2015010026	2015	9	9	19	23	-16.77
6		2013010112	2016	5	23	12	11	-21.08
11		2012013346	2015	8	21	16	28	-9.33
3		2012013538	2016	11	24	9	36	-22.44
12		2013010859	2016	8	16	4	17	320.82
5		2013010943	2016	9	29	18	35	-13.53
12		2015010159	2016	6	14	1	35	-9.28
4		2015010035	2016	9	18	16	48	401.92
13		2015013698	2016	1	30	2	29	-9.76
11		2013011056	2015	8	28	5	46	75.41
7		2013010158	2015	4	8	8	57	-19.32
11		2013011082	2016	8	10	10	19	-14.96
12		2015012109	2016	2	6	11	26	-22.80
8		2014012475	2016	2	23	3	25	-16.72
8		2012011541	2016	10	26	4	43	-19.02
3		2015012486	2015	11	16	17	57	-13.84
9		2014011632	2016	1	23	5	12	-4.31
11		2012012258	2016	2	6	7	39	-20.78
2		2013011913	2015	11	1	5	55	-16.30
8		2015011911	2015	6	4	21	2	-17.24
12		2014012262	2015	11	30	3	34	-10.37
5		2012012895	2016	12	4	5	1	-9.92
10		2013011993	2015	3	9	9	2	-9.44
2		2014010745	2016	12	18	1	4	-11.87
2		2014012895	2015	2	28	6	12	155.68
5		2015013675	2016	10	1	17	43	-3.95
12		2012012832	2015	3	15	17	24	-11.08
6		2013010622	2015	4	25	2	50	-4.94
4		2013012914	2015	6	2	5	0	-14.61
9		2013013554	2016	7	11	3	15	-5.53
11		2015010902	2015	11	18	14	28	-10.29
1		2014010307	2015	1	14	19	22	-6.36
9		2013011820	2016	8	14	15	43	-5.41
12		2013010527	2016	10	30	22	33	-21.43
6		2012012658	2015	11	18	15	17	-11.39
1		2015012659	2015	5	18	21	30	-18.12
10		2012010224	2015	11	19	8	41	-3.15
14		2015011630	2015	8	18	18	39	-11.43
4		2014010649	2015	4	16	22	24	-4.72
14		2015010089	2015	2	24	22	43	-18.86
2		2014012309	2016	4	4	17	47	-16.60
3		2012011269	2015	9	10	14	46	-3.69
10		2013011407	2016	8	31	11	43	-4.84
7		2012011968	2015	1	13	23	23	317.49
6		2012010390	2015	12	22	20	40	-21.75
7		2015013564	2016	10	15	18	17	-19.31
9		2013012604	2016	7	11	8	18	-17.32
10		2013013728	2016	12	29	18	21	-19.65
4		2013013408	2016	4	13	15	27	237.82
13		2013012869	2015	7	16	4	37	-5.62
12		2014012112	2015	4	16	7	20	-20.64
9		2014013343	2015	11	19	12	58	385.24
9		2012010210	2015	12	3	16	16	-11.25
6		2014011151	2015	9	14	10	57	224.79
11		2015011787	2015	7	16	15	9	-16.07
3		2013012227	2016	12	20	8	41	-5.54
7		2014013736	2016	7	13	17	13	-11.31
12		2012012942	2015	10	12	0	35	-4.51
13		2013011310	2016	8	31	6	10	-22.96
8		2014013574	2016	10	31	13	6	154.58
12		2013010620	2016	6	19	6	14	-17.66
2		2012011006	2015	8	11	18	3	-15.33
14		2014010426	2016	5	1	11	12	121.42
3		2013010448	2016	12	20	17	30	-11.46
13		2015011481	2016	4	21	12	35	-17.47
12		2015010387	2016	10	23	20	22	-14.25
3		2014010739	2016	4	23	10	29	-15.80
9		2015011720	2016	11	10	22	10	-12.42
2		2015013213	2016	5	20	19	26	-21.00
14		2012011053	2016	4	27	1	58	314.85
12		2012012252	2015	8	18	20	32	-13.74
8		2015010950	2016	5	23	11	35	-17.24
3		2013012322	2016	10	23	15	24	62.64
11		2015011644	2015	2	2	17	13	-18.18
9		2012011310	2016	8	29	23	4	-15.58
14		2014013243	2016	2	20	23	2	-14.22
7		2012010036	2015	12	27	18	28	-17.13
5		2015012367	2015	3	17	15	23	-7.58
3		2012013041	2015	8	25	4	42	-16.62
3		2013012770	2016	3	31	18	4	-8.53
3		2014011121	2016	11	17	6	54	-14.52
5		2015010693	2015	4	29	10	12	4.48
12		2013013542	2015	10	23	23	22	-15.70
4		2013010238	2016	6	25	20	3	-18.61
10		2014010097	2016	9	11	9	41	206.99
13		2014012539	2016	7	31	19	29	-6.35
12		2012012429	2015	4	12	12	31	-22.33
4		2015013628	2016	3	10	11	42	-19.10
14		2013011931	2015	3	30	8	16	-9.54
4		2014012827	2016	3	6	6	25	-20.67
2		2013012645	2016	1	15	7	3	-22.61
13		2014010203	2016	5	7	15	46	-10.10
3		2015011624	2015	8	25	0	50	-8.74
8		2015013168	2016	2	21	4	28	-3.25
12		2014012654	2015	2	7	3	34	-17.32
14		2014012193	2015	10	12	8	50	-22.26
3		2015010851	2015	4	25	2	52	-16.14
9		2012011956	2016	8	18	0	20	-15.53
11		2012010327	2016	11	22	6	42	-10.00
7		2014011152	2016	10	14	11	12	-12.89
7		2014010264	2015	3	28	7	46	-6.71
13		2013010483	2015	7	22	1	12	-22.53
4		2014011296	2016	4	24	21	15	-8.54
6		2013012209	2015	9	16	1	44	-22.91
1		2015010189	2016	2	24	4	24	399.44
6		2014013197	2015	8	5	16	45	189.27
1		2014011029	2016	4	8	3	34	-14.81
12		2013011240	2016	12	13	9	16	-12.67
2		2015013031	2015	5	15	7	6	-13.94
2		2015012630	2015	8	20	11	49	-17.92
10		2012013640	2015	7	16	23	44	-22.97
6		2013010397	2015	6	28	15	34	-4.12
4		2015013373	2016	11	6	17	34	-20.44
7		2013012100	2016	3	7	2	38	-13.96
13		2013011453	2015	11	18	14	12	-16.91
7		2015010078	2015	8	4	5	11	-10.89
5		2013010263	2015	10	6	5	50	-18.41
3		2012011149	2015	3	26	15	11	-8.01
11		2013011740	2015	11	4	22	37	-13.82
14		2012011064	2015	10	8	17	12	24.74
6		2012011480	2015	10	29	2	7	-8.93
5		2013011438	2015	5	26	20	18	-18.91
10		2015013627	2016	7	17	20	9	-7.80
14		2015010142	2016	7	7	0	17	-16.13
6		2015011032	2015	11	11	5	28	-7.62
5		2014012688	2016	3	22	0	46	-5.83
5		2013012848	2015	6	19	7	14	-6.90
2		2012012832	2015	12	29	18	11	-17.30
8		2013012832	2015	9	26	2	25	-18.92
7		2012012485	2015	2	6	2	10	-9.47
10		2015012455	2016	8	18	14	59	-4.16
1		2014012981	2015	8	30	13	43	-18.07
14		2014012323	2015	9	8	11	54	-9.00
10		2013013237	2016	11	12	17	53	-11.58
10		2015013324	2016	2	21	22	33	-13.81
11		2015011976	2015	10	19	15	41	-11.11
7		2012012755	2016	1	8	16	51	-6.16
9		2014012697	2016	7	22	11	7	-13.93
8		2015013884	2015	8	29	8	19	-3.46
9		2015011723	2015	6	22	6	23	-15.28
2		2015010703	2015	5	25	17	46	379.98
5		2015012307	2015	4	7	13	9	178.05
2		2015011903	2016	6	5	18	35	97.89
13		2014012905	2016	9	13	18	30	-16.50
2		2014010294	2016	3	3	18	4	-13.50
9		2012013788	2015	9	27	19	1	-4.86
2		2013011097	2016	2	20	4	39	-4.44
8		2014010233	2015	12	31	22	35	-12.22
8		2012011660	2016	10	11	14	7	-10.13
2		2015010880	2016	5	15	17	41	-5.88
4		2013010524	2016	10	23	13	38	-5.97
13		2012010063	2016	7	5	12	26	-4.48
12		2014011136	2016	3	8	7	52	-13.24
13		2012012004	2015	11	14	9	20	-3.32
6		2013013209	2016	12	16	14	23	-9.29
4		2015012915	2015	7	16	23	0	-21.97
9		2014012758	2016	12	1	3	44	-19.45
13		2012010448	2015	9	16	22	29	-4.01
13		2013013116	2015	9	7	15	46	-7.28
11		2014010499	2016	4	10	21	28	-11.20
13		2015013514	2016	11	7	18	44	-8.52
8		2014013542	2016	6	9	8	15	-19.80
14		2015010993	2016	11	5	16	45	-20.40
13		2014013061	2016	8	26	12	59	-6.06
14		2014011876	2016	2	27	7	42	-7.97
12		2014012893	2016	1	5	2	58	248.81
10		2013011265	2015	5	23	10	23	-4.38
14		2012011497	2015	12	10	12	59	-13.87
1		2013012286	2015	7	15	4	16	-22.88
10		2015010463	2016	11	23	9	52	-12.63
10		2015012931	2016	1	26	6	59	-4.44
12		2014010348	2016	4	2	6	32	-21.12
8		2014012552	2015	9	21	2	20	-6.77
9		2014012882	2016	8	7	21	2	215.74
2		2015011447	2015	4	14	4	43	-22.04
7		2012011034	2016	6	16	11	32	-22.19
6		2015011771	2015	12	17	16	42	-22.86
3		2015010536	2016	6	14	21	28	-12.15
11		2014012891	2015	11	11	0	41	-11.72
12		2013012040	2016	2	25	1	14	-17.37
13		2015013108	2015	2	4	19	44	-15.14
13		2012012965	2015	5	16	14	58	-11.80
1		2014010196	2015	6	10	2	35	137.71
1		2012010729	2016	9	6	2	57	-18.74
7		2012010713	2016	11	25	22	52	-19.83
13		2012011936	2015	6	8	5	53	-7.13
6		2013011014	2016	5	23	5	54	-19.47
11		2012010310	2016	10	4	21	26	-6.48
12		2015012388	2016	3	3	20	45	-15.42
3		2014010906	2016	2	15	14	9	-13.06
7		2015012319	2016	4	1	18	48	-8.72
9		2014011175	2015	5	2	10	59	313.73
12		2015013143	2015	9	24	19	7	-13.22
12		2015010919	2015	10	5	4	37	-6.42
9		2015012905	2015	4	25	20	35	-20.15
13		2014012741	2016	6	26	16	29	153.27
6		2014011785	2015	2	17	11	57	-7.83
7		2012012073	2015	5	10	18	5	64.36
10		2014010359	2016	4	23	22	32	-4.95
7		2015012869	2016	8	6	9	37	-4.73
8		2013012207	2016	6	30	22	29	-12.56
1		2012013503	2015	12	19	10	42	-22.05
5		2013010421	2015	5	24	12	0	-18.32
11		2012011399	2016	11	2	1	5	-11.56
13		2015011954	2016	7	13	9	27	-12.23
8		2012010845	2016	4	16	12	43	-8.46
5		2013011843	2015	4	5	6	9	-20.25
5		2015012735	2016	11	15	10	41	-11.18
7		2012013879	2015	5	12	19	40	-14.60
10		2012010809	2016	1	28	17	26	-20.38
6		2012013219	2016	2	27	11	32	-9.20
14		2012010627	2015	10	8	12	34	-3.38
11		2014013707	2015	9	17	12	4	-7.83
10		2014012042	2015	3	2	8	45	-7.93
6		2014012824	2016	3	24	5	26	-4.12
10		2014011681	2016	1	21	20	5	-5.72
14		2012012580	2015	9	14	9	50	-15.30
2		2012012238	2015	3	10	1	3	-17.10
8		2012012726	2016	3	15	16	52	-22.43
4		2012012110	2016	6	18	3	16	49.15
4		2014012788	2016	11	16	7	52	-3.19
13		2012012722	2016	7	19	17	19	-7.63
9		2015013065	2016	9	19	9	12	-20.27
13		2015011516	2016	12	9	8	24	-16.77
10		2013010661	2015	7	24	22	39	-18.22
13		2014012525	2015	12	1	21	47	306.16
5		2013012559	2016	3	13	20	17	-6.86
4		2014011864	2016	7	6	16	41	-20.74
9		2015011249	2016	10	19	15	9	-13.86
7		2012013029	2016	2	19	3	3	-18.78
14		2015010265	2016	5	22	21	28	-11.97
9		2014010432	2015	1	31	6	48	-21.27
1		2012010735	2015	1	29	15	36	-3.09
4		2013012877	2015	9	3	6	35	315.39
13		2015010042	2016	5	27	2	28	-4.33
7		2015011423	2016	2	13	22	10	-14.88
2		2014011089	2016	11	4	22	36	-13.04
2		2015011690	2015	12	12	1	10	-12.37
7		2013013269	2015	4	29	16	44	-13.18
3		2012010405	2015	11	30	7	41	-12.56
2		2015013720	2016	3	18	11	12	-9.36
4		2015011062	2015	8	29	5	57	-9.91
9		2015011428	2016	4	1	13	52	-10.64
11		2015012885	2016	1	26	16	27	-15.93
2		2014011993	2016	8	1	1	57	-10.02
13		2014010982	2016	2	20	7	56	-15.84
7		2014010958	2016	6	1	5	53	-10.74
7		2015012349	2016	9	3	2	17	-12.80
11		2012013134	2016	2	1	7	52	-3.46
6		2013011195	2015	11	8	4	12	47.92
8		2014012199	2016	8	24	8	8	-11.20
4		2014012525	2016	10	13	14	58	394.42
7		2015010789	2016	4	9	4	57	353.11
3		2012010286	2016	7	2	14	37	340.07
9		2013011577	2015	1	2	3	12	-21.52
8		2013012926	2016	7	27	9	16	-11.95
9		2015012263	2015	2	10	9	32	-10.60
11		2012011123	2015	9	23	4	45	-5.95
4		2015011949	2015	8	2	5	7	-15.28
3		2014011868	2015	5	15	14	6	-18.74
1		2012011275	2015	2	4	19	56	278.74
12		2014010688	2015	2	3	13	4	234.96
12		2012012823	2016	11	4	13	48	-15.78
5		2012010270	2015	4	18	10	43	195.54
13		2015011009	2016	10	27	0	54	-15.21
4		2012012566	2016	4	6	5	22	-13.10
2		2015012979	2015	2	8	1	47	-4.36
9		2013012462	2016	5	6	23	35	-13.00
4		2012010849	2015	12	20	8	19	-3.93
12		2012012781	2015	7	26	20	46	-10.99
11		2015010325	2015	7	14	1	8	-14.32
14		2013012889	2015	7	29	17	27	-7.21
9		2015013317	2015	5	9	16	12	-15.34
1		2014010499	2015	9	12	20	36	-10.67
10		2015013730	2015	11	3	21	23	-13.47
1		2014011700	2016	2	16	13	34	-5.61
2		2014013014	2016	3	3	18	21	271.26
1		2015012329	2015	11	24	1	30	-19.76
4		2014011828	2016	1	6	3	36	-10.32
8		2012012203	2015	11	22	11	14	102.73
3		2012010558	2015	9	13	0	8	350.05
9		2015010682	2015	5	29	22	43	-5.06
8		2014010950	2016	1	23	4	31	-11.83
13		2013012861	2015	10	26	17	31	172.01
10		2015011302	2016	11	1	19	40	-5.98
4		2013012500	2015	12	22	21	52	-8.42
11		2013013296	2015	5	17	17	38	-17.17
11		2012011385	2016	5	7	19	19	-13.73
3		2015010333	2015	6	2	22	18	-5.72
12		2012013161	2016	8	21	16	19	-14.69
8		2014011374	2015	7	15	1	50	-3.18
2		2014013487	2016	3	18	0	25	-3.89
13		2013012349	2015	9	18	7	7	-12.56
7		2013013642	2015	3	6	22	49	-16.84
4		2013011922	2016	2	18	22	15	-21.50
9		2013012278	2015	3	19	15	55	-13.06
11		2013010156	2015	10	15	16	22	-17.65
6		2014011537	2016	7	23	8	50	-15.09
14		2014013248	2016	10	25	17	31	-8.93
9		2013012718	2016	9	19	18	31	-11.80
6		2012013895	2015	7	29	17	32	-17.04
14		2014010348	2016	7	29	22	27	126.89
3		2014011492	2016	9	23	2	54	-12.26
7		2012012669	2015	9	10	1	56	-6.81
3		2013011054	2016	4	20	10	13	-17.70
12		2014012680	2015	9	8	19	47	-4.45
13		2015012175	2016	4	12	19	35	-15.78
10		2013013286	2015	10	13	3	59	-6.00
3		2015011887	2016	1	6	8	41	-5.83
8		2014011264	2015	3	15	16	19	-19.30
11		2014010814	2015	5	24	6	37	-16.40
9		2015013132	2016	7	31	17	27	-16.06
